"Ro","beta","slope","t.star","max.Ihosp"
1.02857142857143,0.072,0.00199999999999999,134.399999999997,1190
1.05714285714286,0.074,0.004,217.499999999992,1634
1.08571428571429,0.076,0.00599999999999999,247.29999999999,2344
1.11428571428571,0.078,0.00800000000000001,250.99999999999,3285
1.14285714285714,0.08,0.01,244.09999999999,4425
1.17142857142857,0.082,0.012,233.199999999991,5740
1.2,0.084,0.014,221.499999999992,7204
1.22857142857143,0.086,0.016,209.899999999992,8799
1.25714285714286,0.088,0.018,199.099999999993,10506
1.28571428571429,0.09,0.02,188.999999999994,12310
1.31428571428571,0.092,0.022,179.799999999994,14197
1.34285714285714,0.094,0.024,171.399999999995,16154
1.37142857142857,0.096,0.026,163.799999999995,18172
1.4,0.098,0.028,156.699999999995,20241
1.42857142857143,0.1,0.03,150.299999999996,22352
1.45714285714286,0.102,0.032,144.399999999996,24499
1.48571428571429,0.104,0.034,138.899999999996,26674
1.51428571428571,0.106,0.036,133.799999999997,28871
1.54285714285714,0.108,0.038,129.199999999997,31087
1.57142857142857,0.11,0.04,124.799999999997,33316
1.6,0.112,0.042,120.699999999997,35554
1.62857142857143,0.114,0.044,116.899999999998,37797
1.65714285714286,0.116,0.046,113.399999999998,40043
1.68571428571429,0.118,0.048,110.099999999998,42288
1.71428571428571,0.12,0.05,106.899999999998,44531
1.74285714285714,0.122,0.052,103.999999999998,46769
1.77142857142857,0.124,0.054,101.199999999999,48999
1.8,0.126,0.056,98.5999999999987,51221
1.82857142857143,0.128,0.058,96.0999999999988,53433
1.85714285714286,0.13,0.06,93.699999999999,55633
1.88571428571429,0.132,0.062,91.4999999999991,57820
1.91428571428571,0.134,0.064,89.3999999999992,59993
1.94285714285714,0.136,0.066,87.3999999999993,62152
1.97142857142857,0.138,0.068,85.3999999999994,64296
2,0.14,0.07,83.5999999999995,66423
2.02857142857143,0.142,0.072,81.7999999999996,68533
2.05714285714286,0.144,0.074,80.0999999999997,70627
2.08571428571429,0.146,0.076,78.4999999999998,72702
2.11428571428571,0.148,0.078,76.9999999999999,74760
2.14285714285714,0.15,0.08,75.5,76799
2.17142857142857,0.152,0.082,74.1000000000001,78820
2.2,0.154,0.084,72.7000000000001,80823
2.22857142857143,0.156,0.086,71.4000000000002,82806
2.25714285714286,0.158,0.088,70.1000000000003,84771
2.28571428571429,0.16,0.09,68.9000000000004,86716
2.31428571428571,0.162,0.092,67.7000000000004,88642
2.34285714285714,0.164,0.094,66.6000000000005,90550
2.37142857142857,0.166,0.096,65.5000000000006,92438
2.4,0.168,0.098,64.5000000000006,94307
2.42857142857143,0.17,0.1,63.4000000000006,96158
2.45714285714286,0.172,0.102,62.5000000000006,97989
2.48571428571429,0.174,0.104,61.5000000000006,99802
2.51428571428571,0.176,0.106,60.6000000000006,101596
2.54285714285714,0.178,0.108,59.7000000000006,103372
2.57142857142857,0.18,0.11,58.8000000000006,105130
2.6,0.182,0.112,58.0000000000006,106868
2.62857142857143,0.184,0.114,57.2000000000005,108589
2.65714285714286,0.186,0.116,56.4000000000005,110292
2.68571428571429,0.188,0.118,55.6000000000005,111978
2.71428571428571,0.19,0.12,54.8000000000005,113647
2.74285714285714,0.192,0.122,54.1000000000005,115297
2.77142857142857,0.194,0.124,53.4000000000005,116930
2.8,0.196,0.126,52.7000000000005,118547
2.82857142857143,0.198,0.128,52.1000000000005,120144
2.85714285714286,0.2,0.13,51.4000000000005,121728
2.88571428571429,0.202,0.132,50.8000000000005,123294
2.91428571428571,0.204,0.134,50.2000000000004,124843
2.94285714285714,0.206,0.136,49.6000000000004,126377
2.97142857142857,0.208,0.138,49.0000000000004,127895
3,0.21,0.14,48.4000000000004,129399
3.02857142857143,0.212,0.142,47.8000000000004,130886
3.05714285714286,0.214,0.144,47.3000000000004,132357
3.08571428571429,0.216,0.146,46.8000000000004,133812
3.11428571428571,0.218,0.148,46.2000000000004,135256
3.14285714285714,0.22,0.15,45.7000000000004,136683
3.17142857142857,0.222,0.152,45.2000000000004,138095
3.2,0.224,0.154,44.8000000000004,139490
3.22857142857143,0.226,0.156,44.3000000000004,140876
3.25714285714286,0.228,0.158,43.8000000000004,142247
3.28571428571429,0.23,0.16,43.4000000000003,143601
3.31428571428571,0.232,0.162,42.9000000000003,144946
3.34285714285714,0.234,0.164,42.5000000000003,146274
3.37142857142857,0.236,0.166,42.1000000000003,147588
3.4,0.238,0.168,41.6000000000003,148894
3.42857142857143,0.24,0.17,41.2000000000003,150184
3.45714285714286,0.242,0.172,40.8000000000003,151462
3.48571428571429,0.244,0.174,40.4000000000003,152727
3.51428571428571,0.246,0.176,40.1000000000003,153976
3.54285714285714,0.248,0.178,39.7000000000003,155218
3.57142857142857,0.25,0.18,39.3000000000003,156447
3.6,0.252,0.182,39.0000000000003,157660
3.62857142857143,0.254,0.184,38.6000000000003,158868
3.65714285714286,0.256,0.186,38.3000000000003,160058
3.68571428571429,0.258,0.188,37.9000000000003,161243
3.71428571428571,0.26,0.19,37.6000000000003,162412
3.74285714285714,0.262,0.192,37.3000000000003,163569
3.77142857142857,0.264,0.194,36.9000000000003,164722
3.8,0.266,0.196,36.6000000000003,165860
3.82857142857143,0.268,0.198,36.3000000000002,166986
3.85714285714286,0.27,0.2,36.0000000000002,168103
