"Ro","beta","slope","t.star","max.Ihosp"
1.02857142857143,0.072,0.00199999999999999,257.59999999999,1357
1.05714285714286,0.074,0.004,353.800000000012,2273
1.08571428571429,0.076,0.00599999999999999,361.100000000014,3719
1.11428571428571,0.078,0.00800000000000001,342.600000000009,5625
1.14285714285714,0.08,0.01,318.900000000004,7930
1.17142857142857,0.082,0.012,295.799999999999,10581
1.2,0.084,0.014,274.999999999994,13531
1.22857142857143,0.086,0.016,256.49999999999,16741
1.25714285714286,0.088,0.018,240.299999999991,20175
1.28571428571429,0.09,0.02,225.899999999991,23801
1.31428571428571,0.092,0.022,213.199999999992,27592
1.34285714285714,0.094,0.024,201.899999999993,31525
1.37142857142857,0.096,0.026,191.799999999993,35577
1.4,0.098,0.028,182.699999999994,39730
1.42857142857143,0.1,0.03,174.399999999994,43968
1.45714285714286,0.102,0.032,166.899999999995,48275
1.48571428571429,0.104,0.034,160.099999999995,52638
1.51428571428571,0.106,0.036,153.799999999996,57048
1.54285714285714,0.108,0.038,147.999999999996,61492
1.57142857142857,0.11,0.04,142.699999999996,65961
1.6,0.112,0.042,137.799999999996,70449
1.62857142857143,0.114,0.044,133.199999999997,74947
1.65714285714286,0.116,0.046,128.899999999997,79450
1.68571428571429,0.118,0.048,124.899999999997,83952
1.71428571428571,0.12,0.05,121.199999999997,88448
1.74285714285714,0.122,0.052,117.699999999998,92933
1.77142857142857,0.124,0.054,114.399999999998,97404
1.8,0.126,0.056,111.299999999998,101857
1.82857142857143,0.128,0.058,108.299999999998,106289
1.85714285714286,0.13,0.06,105.499999999998,110698
1.88571428571429,0.132,0.062,102.899999999998,115081
1.91428571428571,0.134,0.064,100.399999999999,119437
1.94285714285714,0.136,0.066,98.0999999999987,123762
1.97142857142857,0.138,0.068,95.7999999999988,128057
2,0.14,0.07,93.699999999999,132318
2.02857142857143,0.142,0.072,91.5999999999991,136547
2.05714285714286,0.144,0.074,89.6999999999992,140741
2.08571428571429,0.146,0.076,87.7999999999993,144899
2.11428571428571,0.148,0.078,85.9999999999994,149022
2.14285714285714,0.15,0.08,84.2999999999995,153107
2.17142857142857,0.152,0.082,82.6999999999996,157155
2.2,0.154,0.084,81.0999999999997,161166
2.22857142857143,0.156,0.086,79.5999999999998,165139
2.25714285714286,0.158,0.088,78.0999999999998,169075
2.28571428571429,0.16,0.09,76.6999999999999,172971
2.31428571428571,0.162,0.092,75.4,176829
2.34285714285714,0.164,0.094,74.1000000000001,180649
2.37142857142857,0.166,0.096,72.8000000000001,184433
2.4,0.168,0.098,71.6000000000002,188177
2.42857142857143,0.17,0.1,70.5000000000003,191881
2.45714285714286,0.172,0.102,69.3000000000003,195551
2.48571428571429,0.174,0.104,68.2000000000004,199182
2.51428571428571,0.176,0.106,67.2000000000005,202774
2.54285714285714,0.178,0.108,66.2000000000005,206330
2.57142857142857,0.18,0.11,65.2000000000006,209850
2.6,0.182,0.112,64.2000000000006,213333
2.62857142857143,0.184,0.114,63.3000000000006,216779
2.65714285714286,0.186,0.116,62.4000000000006,220190
2.68571428571429,0.188,0.118,61.5000000000006,223566
2.71428571428571,0.19,0.12,60.7000000000006,226904
2.74285714285714,0.192,0.122,59.9000000000006,230208
2.77142857142857,0.194,0.124,59.1000000000006,233478
2.8,0.196,0.126,58.3000000000006,236716
2.82857142857143,0.198,0.128,57.5000000000005,239920
2.85714285714286,0.2,0.13,56.8000000000005,243088
2.88571428571429,0.202,0.132,56.1000000000005,246223
2.91428571428571,0.204,0.134,55.4000000000005,249326
2.94285714285714,0.206,0.136,54.7000000000005,252399
2.97142857142857,0.208,0.138,54.0000000000005,255440
3,0.21,0.14,53.4000000000005,258446
3.02857142857143,0.212,0.142,52.8000000000005,261421
3.05714285714286,0.214,0.144,52.1000000000005,264371
3.08571428571429,0.216,0.146,51.6000000000005,267282
3.11428571428571,0.218,0.148,51.0000000000005,270170
3.14285714285714,0.22,0.15,50.4000000000004,273029
3.17142857142857,0.222,0.152,49.8000000000004,275859
3.2,0.224,0.154,49.3000000000004,278656
3.22857142857143,0.226,0.156,48.8000000000004,281423
3.25714285714286,0.228,0.158,48.2000000000004,284171
3.28571428571429,0.23,0.16,47.7000000000004,286886
3.31428571428571,0.232,0.162,47.2000000000004,289574
3.34285714285714,0.234,0.164,46.7000000000004,292236
3.37142857142857,0.236,0.166,46.3000000000004,294865
3.4,0.238,0.168,45.8000000000004,297477
3.42857142857143,0.24,0.17,45.3000000000004,300062
3.45714285714286,0.242,0.172,44.9000000000004,302617
3.48571428571429,0.244,0.174,44.5000000000004,305144
3.51428571428571,0.246,0.176,44.0000000000004,307659
3.54285714285714,0.248,0.178,43.6000000000003,310141
3.57142857142857,0.25,0.18,43.2000000000003,312599
3.6,0.252,0.182,42.8000000000003,315033
3.62857142857143,0.254,0.184,42.4000000000003,317446
3.65714285714286,0.256,0.186,42.0000000000003,319835
3.68571428571429,0.258,0.188,41.6000000000003,322202
3.71428571428571,0.26,0.19,41.3000000000003,324537
3.74285714285714,0.262,0.192,40.9000000000003,326863
3.77142857142857,0.264,0.194,40.5000000000003,329166
3.8,0.266,0.196,40.2000000000003,331438
3.82857142857143,0.268,0.198,39.8000000000003,333700
3.85714285714286,0.27,0.2,39.5000000000003,335931
